,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
VolumeB,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,-1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
SpectatoriS,-0.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,-1.0,0.0,0.0,-0.0,-1.0,-1.0,-1.0,1.0,-0.0,-1.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-1.0,1.0,-0.0,1.0,0.0,0.0,0.0,-0.0
VizitatoriM,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
SportiviL,-0.0,-1.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0
PIB,0.0,-0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-1.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-1.0,-0.0
SalariatiC,0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,1.0,1.0,-0.0
PAgrVeg,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,-1.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,-1.0,0.0,0.0,-1.0,-0.0,-1.0,-0.0,1.0,1.0
PAgrAnim,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.0
ServAgr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-0.0,-1.0,-0.0,-0.0,0.0,-1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,-1.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,1.0
Silvicultura,-1.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,1.0,-1.0,1.0,-0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,-1.0,1.0,-1.0,1.0,-0.0,0.0,1.0,1.0,1.0,1.0,-0.0,-1.0
SupLoc,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,-0.0,1.0,-1.0,-0.0,-1.0,-1.0,-0.0,1.0,0.0
DrumuriM,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.0,-0.0,0.0,0.0,-0.0,-0.0,-1.0,-1.0,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0
Innoptari,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-1.0,1.0,-0.0,1.0,-0.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0
BugetVenituri,-1.0,-0.0,-1.0,-0.0,-0.0,-0.0,-1.0,0.0,-0.0,0.0,-1.0,-0.0,-1.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
BugetSubventii,-1.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0,0.0,-0.0,1.0,-0.0,0.0,-1.0,-0.0,0.0,1.0,-0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-0.0,-1.0
Apa,-1.0,-0.0,-1.0,0.0,0.0,-0.0,-1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,1.0,-1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
Canal,0.0,0.0,0.0,1.0,1.0,1.0,-0.0,-1.0,1.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,1.0,0.0
Export,1.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,-1.0,0.0,-1.0,-0.0,-1.0,-1.0,-1.0,0.0,1.0
